feature,coefficient,std_error,t_value,p_value,CI_lower,CI_upper
COMPANY_NAME_ohe_58,-6400.211000109861,2114.2084618445497,-3.0272374345365978,0.0024680001874974877,-10544.059585325178,-2256.3624148945437
COMPANY_NAME_ohe_59,28024.204369097548,11841.848439526788,2.366539692870569,0.017955248788815714,4814.181427625044,51234.22731057005
COMPANY_NAME_ohe_60,-8158.30923814168,3612.7599266294615,-2.2581930169251536,0.023933628435198306,-15239.318694335423,-1077.299781947936
COMPANY_NAME_ohe_61,866.9398738835639,5824.667547014173,0.1488393744168236,0.8816803803731172,-10549.408518264214,12283.288266031343
COMPANY_NAME_ohe_62,5482.783000184776,2078.9532487220085,2.6372805658593803,0.00835736767688755,1408.0346326896392,9557.531367679912
COMPANY_NAME_ohe_63,9600.63682811064,2743.8779195547672,3.4989300215180417,0.0004671291623232765,4222.636105783297,14978.637550437983
COMPANY_NAME_ohe_64,-7205.782595021679,2425.693191391745,-2.9706075857381413,0.0029721128258279883,-11960.1412501495,-2451.423939893859
COMPANY_NAME_ohe_65,7747.4139171783245,2557.7913690572373,3.0289467745111294,0.0024540791478373514,2734.1428338261394,12760.68500053051
COMPANY_NAME_ohe_66,-11809.057028177018,2857.152438254267,-4.133156099781783,3.5781552795821625e-05,-17409.07580715538,-6209.038249198655
COMPANY_NAME_ohe_67,-3439.2444737749615,2697.1213539086752,-1.275153774149168,0.20225481919702748,-8725.602327435965,1847.1133798860415
COMPANY_NAME_ohe_68,-4745.034889944911,2317.952921007366,-2.0470799242474484,0.0406502377755551,-9288.222615119348,-201.84716477047368
COMPANY_NAME_ohe_69,-10795.076715435805,1988.935311203153,-5.427565519416322,5.712789863387968e-08,-14693.389925393985,-6896.763505477626
COMPANY_NAME_ohe_70,26706.570841378783,6307.601952042746,4.2340291991205525,2.295411211350462e-05,14343.671015375001,39069.470667382564
COMPANY_NAME_ohe_71,7306.383832820737,17331.52347660332,0.4215661619524668,0.6733417093750127,-26663.402181321777,41276.16984696325
COMPANY_NAME_ohe_72,-11425.840451579676,2660.6193280777075,-4.294428868873483,1.7514362219639423e-05,-16640.654334611983,-6211.026568547369
COMPANY_NAME_ohe_73,138.64001780303778,830.7561567180398,0.16688412921397397,0.867461221074711,-1489.6420493643202,1766.9220849703959
COMPANY_NAME_ohe_74,-2222.660319479999,2033.1940279795908,-1.0931865276471833,0.2743119109934882,-6207.7206143199965,1762.3999753599987
COMPANY_NAME_ohe_75,3326.312065549782,3482.9499148927857,0.95502724610732,0.3395639186756956,-3500.269767640078,10152.893898739641
COMPANY_NAME_ohe_76,11428.201864179788,5764.8619337094915,1.982389516972548,0.04743566196694737,129.07247410918535,22727.33125425039
COMPANY_NAME_ohe_77,23315.33306624551,4149.385256818152,5.6189848913003235,1.9208265200632013e-08,15182.537962881932,31448.128169609085
COMPANY_NAME_ohe_78,-7906.6766432171,2433.771706710633,-3.2487338978491853,0.0011591986330672377,-12676.869188369941,-3136.4840980642584
COMPANY_NAME_ohe_79,-14332.032019004648,3322.6583160706846,-4.31342336637053,1.6074587494419035e-05,-20844.44231850319,-7819.621719506106
COMPANY_NAME_ohe_80,15845.066043400433,3206.147758128127,4.942088524532442,7.729010493839894e-07,9561.016437469305,22129.11564933156
COMPANY_NAME_ohe_81,-8640.36252848785,3468.9847581743156,-2.4907467546888755,0.012747494414779625,-15439.57265450951,-1841.1524024661921
COMPANY_NAME_ohe_82,29953.259839241786,5766.625247928058,5.194244215887612,2.0555316737613794e-07,18650.67435330279,41255.84532518078
COMPANY_NAME_ohe_83,30150.21296966872,1698.9787829481936,17.74607974641675,0.0,26820.21455509026,33480.21138424718
COMPANY_NAME_ohe_84,-7849.718209175694,2809.007424638397,-2.7944811182498697,0.005198307635313704,-13355.372761466951,-2344.0636568844357
