feature,coefficient,std_error,t_value,p_value,CI_lower,CI_upper,abs_t
COMPANY_NAME_ohe_183,-11326.871588740858,4639.647664988097,-2.4413214982284472,0.014633620682489079,-20420.581012117527,-2233.1621653641887,2.4413214982284472
COMPANY_NAME_ohe_99,43450.319408030846,17802.211340783615,2.440725962425197,0.014657772793883472,8557.985180094962,78342.65363596674,2.440725962425197
COMPANY_NAME_ohe_244,23545.608161999426,9702.493544700632,2.4267584465294196,0.015234395247601284,4528.720814386186,42562.495509612665,2.4267584465294196
COMPANY_NAME_ohe_4,2497.540346886213,1030.5129495368406,2.4235894832847285,0.015367966634882269,477.73496579400535,4517.34572797842,2.4235894832847285
COMPANY_NAME_ohe_198,3352.8896104679393,1384.0073907250926,2.422595163101935,0.015410089045380992,640.2351246467579,6065.544096289121,2.422595163101935
COMPANY_NAME_ohe_369,-7472.744531931828,3092.318340872104,-2.416550855441469,0.01566833733595785,-13533.68848004115,-1411.8005838225044,2.416550855441469
COMPANY_NAME_ohe_105,-10424.276191076358,4345.221490009148,-2.399020674790599,0.016438986486154494,-18940.910311494288,-1907.6420706584286,2.399020674790599
COMPANY_NAME_ohe_107,-9570.062315601162,4011.7855870269286,-2.3854869877762797,0.01705652577015715,-17433.162066173943,-1706.9625650283824,2.3854869877762797
COMPANY_NAME_ohe_660,-23353.29717939199,9835.027947639477,-2.3745023708851845,0.017572623356971295,-42629.95195676536,-4076.642402018613,2.3745023708851845
COMPANY_NAME_ohe_514,12975.345520298537,5464.629582197311,2.3744236137376378,0.01757637254928479,2264.671539191808,23686.019501405266,2.3744236137376378
COMPANY_NAME_ohe_212,-4629.8349122839845,1952.021305816247,-2.371815767834561,0.017700914331720163,-8455.796671683827,-803.8731528841408,2.371815767834561
COMPANY_NAME_ohe_59,28024.204369097548,11841.848439526788,2.366539692870569,0.017955248788815714,4814.181427625044,51234.22731057005,2.366539692870569
COMPANY_NAME_ohe_462,-13711.81019559238,5805.910999374638,-2.361698310061814,0.01819143947374746,-25091.39575436667,-2332.2246368180895,2.361698310061814
COMPANY_NAME_ohe_811,-7732.552025582082,3288.6589665869265,-2.3512781666160927,0.018709041634950907,-14178.323600092459,-1286.780451071706,2.3512781666160927
COMPANY_NAME_ohe_190,-6778.592328321409,2886.046163928128,-2.348747020420224,0.018836700013798335,-12435.24280962054,-1121.9418470222781,2.348747020420224
COMPANY_NAME_ohe_278,-17209.995048110304,7356.964252976326,-2.339279416934484,0.019320977247013538,-31629.6449839439,-2790.3451122767055,2.339279416934484
COMPANY_NAME_ohe_613,-8350.330034021961,3570.2960199892427,-2.338834087501551,0.019344021807321088,-15348.110233200878,-1352.5498348430456,2.338834087501551
COMPANY_NAME_ohe_363,-5779.48595924982,2472.005984230986,-2.3379740971977276,0.01938859189927311,-10624.617688342552,-934.3542301570869,2.3379740971977276
COMPANY_NAME_ohe_818,11121.096023576378,4760.964034099099,2.3358916269739862,0.019496890466922157,1789.6065167421439,20452.58553041061,2.3358916269739862
COMPANY_NAME_ohe_752,-14632.826041951388,6269.74466788042,-2.333879099880192,0.019602053415707532,-26921.52559099701,-2344.126492905765,2.333879099880192
COMPANY_NAME_ohe_725,-4055.9199095180297,1738.4020170855251,-2.333131157036899,0.01964126264738497,-7463.187863005659,-648.6519560304005,2.333131157036899
COMPANY_NAME_ohe_236,-7126.064316508151,3058.7548782407584,-2.3297271602903673,0.019820576092020037,-13121.223877860037,-1130.9047551562644,2.3297271602903673
COMPANY_NAME_ohe_211,20469.766096602572,8798.62292322594,2.326473844283977,0.019993286230135965,3224.465167079732,37715.06702612541,2.326473844283977
COMPANY_NAME_ohe_350,22523.332856104724,9684.208561306346,2.325779408148811,0.02003032171099739,3542.2840759442843,41504.38163626516,2.325779408148811
COMPANY_NAME_ohe_245,-7356.93061127129,3168.757935860506,-2.3217079878565876,0.02024866454988894,-13567.696165557882,-1146.165056984698,2.3217079878565876
COMPANY_NAME_ohe_551,-7414.537610906695,3195.8149302918187,-2.3200772800162284,0.020336697157042227,-13678.334874278658,-1150.74034753473,2.3200772800162284
COMPANY_NAME_ohe_567,-9523.598917029085,4112.63224071507,-2.3156942706292654,0.020574967459957794,-17584.358108830624,-1462.8397252275481,2.3156942706292654
LOT_V6_SPECIALIZED_OCCUPATION_NAME_ohe_9,-5888.892338963301,2545.1054586954106,-2.313810737721601,0.020678106111275074,-10877.299038006306,-900.4856399202963,2.313810737721601
COMPANY_NAME_ohe_113,-6644.102541128275,2874.139397599726,-2.3116841676770967,0.020795094504869827,-12277.415760423739,-1010.7893218328118,2.3116841676770967
COMPANY_NAME_ohe_762,-15765.417673078275,6828.749948318271,-2.3086828178502645,0.020961188489197147,-29149.767571782086,-2381.0677743744636,2.3086828178502645
COMPANY_NAME_ohe_108,-9267.483140116596,4037.688315811864,-2.295244807238958,0.021719098666873826,-17181.352239107848,-1353.6140411253427,2.295244807238958
COMPANY_NAME_ohe_478,-10384.15276684528,4535.243969726936,-2.289656926101487,0.022041212223810724,-19273.230947510074,-1495.0745861804862,2.289656926101487
COMPANY_NAME_ohe_676,-4229.420246915995,1848.3249151718585,-2.2882450007566666,0.022123257421579057,-7852.1370806528375,-606.7034131791529,2.2882450007566666
COMPANY_NAME_ohe_801,-2376.2208935316526,1039.835649911405,-2.2851889082030503,0.022301753300532967,-4414.298767358006,-338.1430197052989,2.2851889082030503
COMPANY_NAME_ohe_653,-14462.717281561385,6329.733738577013,-2.2848855700544437,0.022319538369028225,-26868.99540917233,-2056.4391539504395,2.2848855700544437
COMPANY_NAME_ohe_132,-14027.578160325975,6147.917374549391,-2.2816796820328316,0.022508258490977262,-26077.49621444278,-1977.6601062091686,2.2816796820328316
COMPANY_NAME_ohe_800,-8881.752373039102,3895.3323892750627,-2.280101281598727,0.022601682243102772,-16516.603856018224,-1246.9008900599792,2.280101281598727
COMPANY_NAME_ohe_672,-7357.226112874347,3228.2790732883127,-2.278993217702305,0.022667468474307784,-13684.65309651944,-1029.7991292292536,2.278993217702305
COMPANY_NAME_ohe_340,13103.734559375183,5753.980325891956,2.277333917950771,0.02276629296574506,1825.933120626949,24381.535998123418,2.277333917950771
COMPANY_NAME_ohe_757,-6807.098282860966,2990.680970448498,-2.2761031183610796,0.0228398384917603,-12668.832984940022,-945.3635807819101,2.2761031183610796
COMPANY_NAME_ohe_168,-3740.85514428651,1648.3354130577648,-2.26947447385541,0.023239487799300296,-6971.592553879729,-510.11773469329137,2.26947447385541
COMPANY_NAME_ohe_605,48620.84231500244,21462.730663807557,2.2653614340411683,0.02349050893102378,6553.8902139396305,90687.79441606524,2.2653614340411683
COMPANY_NAME_ohe_558,-8667.059877092634,3828.706066177978,-2.263704689596233,0.023592283870877306,-16171.32376680147,-1162.7959873837972,2.263704689596233
COMPANY_NAME_ohe_274,103705.82147651893,45866.785142371875,2.261022244192894,0.023757879653652836,13806.922597470053,193604.7203555678,2.261022244192894
COMPANY_NAME_ohe_60,-8158.30923814168,3612.7599266294615,-2.2581930169251536,0.023933628435198306,-15239.318694335423,-1077.299781947936,2.2581930169251536
COMPANY_NAME_ohe_163,-6865.856969565882,3042.1406985084845,-2.256916313217238,0.024013304498029964,-12828.45273864251,-903.2612004892517,2.256916313217238
COMPANY_NAME_ohe_409,-8357.925215926098,3709.456415761206,-2.2531401583299084,0.024250313102853527,-15628.459790818062,-1087.3906410341342,2.2531401583299084
COMPANY_NAME_ohe_635,14237.424549773139,6323.027490964613,2.251678419889511,0.02434260136162103,1844.2906674824972,26630.55843206378,2.251678419889511
COMPANY_NAME_ohe_430,-11416.795306998845,5077.393751098883,-2.248554251780837,0.02454086979939496,-21368.487059152656,-1465.1035548450363,2.248554251780837
COMPANY_NAME_ohe_146,17841.332749083165,7943.392317428948,2.246059622402976,0.024700189186931176,2272.283806922427,33410.38169124391,2.246059622402976
